X,Y,Affectatio,Etat,Code Posta,Commune,Technologi,Cas CRE,Superficie,Zonage,Risques,ABF,HTA/BT (m),Commentair,A faire,NumÃ©ro,Mail,Next  Step,x,y,icon_url
-0.892618454812196,43.4474830510281,PAL,AbandonnÃ©,"64499",SALIES-DE-BEARN,Sol,"3","5,84 ha",N,,,"200","ancienne decharge, contacter mairie pour connaitre plu ou si projet sur la zone",mail envoyÃ© pour plu,,,Oui,"-0.8926184548121957","43.44748305102806",./0.png
0.173098421659064,43.501431731329,PAL,En cours,"32230",Ricourt,Sol,"2","4,00 ha",NPV,,,,,,,,,"0.1730984216590642","43.501431731329035",./1.png
1.83530649715212,43.5194678768098,PAL,En cours,"31026",Auriac sur Vendinelle,Agri PV,PPA,"1,10 ha",,,,,,,,,,"1.83530649715212","43.51946787680981",./1.png
0.176739765001556,43.5207657284712,PAL,En cours,"32230",Marciac,FPV,"3","2,50 ha",,,,,,,,,,"0.17673976500155553","43.52076572847122",./1.png
0.290166161808468,43.5532760358696,EPA,AbandonnÃ©,"32",Pouylebon (Custret),Sol,2 bis,"14,00 ha",ZnC,,Oui,12000m,"Seul 11ha utilisable car zone de patrimoine dans la parcelle, zone humide probable en bordure",,,,,"0.29016616180846827","43.55327603586963",./0.png
0.294145836291979,43.5538472728595,EPA,AbandonnÃ©,"32",Pouylebon,Sol,2 bis,"9,00 ha",A,,Oui,12000 m,,,,,,"0.2941458362919792","43.55384727285954",./0.png
0.115583990802011,43.5691430195873,EPA,AbandonnÃ©,"32",Beaumarches (Caminau),Sol,2 bis,"7,00 ha",A (amenÃ© Ã  Ã©voluer),,Non,7500 m,"Terrain incompatible, pentu, covisibilitÃ© et servitude moyenne tension",,,,,"0.11558399080201066","43.56914301958733",./0.png
0.120367698709964,43.5715656500283,EPA,En cours,"32",Beaumarches (MourÃ©ou),Sol,2 bis,"10,00 ha",,,Non,4700m,FCS Ã  faire,Voegelin Franck,,,,"0.12036769870996382","43.57156565002833",./1.png
-0.187467293950655,43.6108925505434,EPA,A lancer,"32",Aurensan,Sol,2 bis,"4,00 ha",,,Non,11000 m,,,,,,"-0.18746729395065467","43.61089255054341",./2.png
0.376480092008484,43.6287103163556,EPA,En cours,"32",Mirannes,Sol,2 bis,"10,00 ha",A,,Non,14000 m,FCS faite,DubiÃ© ThÃ©rÃ¨se 10 RUE DU CHATEAU 65220 VILLEMBITS - personne dÃ©cÃ©dÃ© et famille introuvable - seul contact disponible numÃ©ro tel ou voir mairie,Â 05 62 33 22 97,,,"0.37648009200848426","43.62871031635555",./1.png
-0.371320190232503,43.6404653564796,CLM,En cours,"40220",PECORADE,Sol,"3","1,90 ha",A,Aucun,Oui,200 m,"forage petrole, perimetre monument historique",contact mairie / demande de RP,,,,"-0.37132019023250334","43.64046535647964",./1.png
-0.377066381902003,43.6454790067255,CLM,AbandonnÃ©,"40110",GEAUNE,Sol,"3","2,20 ha",1AU,Aucun,Oui,400 m,"forage petrole, perimetre monument historique mais encaissÃ© SERVITUDE GAZ NATUREL",appeler mairie,,,,"-0.37706638190200337","43.64547900672554",./0.png
-0.372650596941198,43.6477351035863,CLM,AbandonnÃ©,"40220",PECORADE,Sol,"3","3,00 ha",A,Aucun,Non,400 m,zonage plu a changer /  SERVITUDE GAZ NATUREL,contacter proprio,,,,"-0.3726505969411979","43.64773510358634",./0.png
-0.333318119765035,43.6528855580446,CLM,En cours,"40305",SORBETS,Sol,"3","1,50 ha",A,Aucun,,300 m,"forage petrole, zonage A donc PLU a changer",contact mairie / demande de RP,,,,"-0.33331811976503534","43.6528855580446",./1.png
0.604000660376317,43.6722290539935,EPA,AbandonnÃ©,"32",Auch,Sol,2 bis,"22,00 ha",,,Non,,,,,,,"0.6040006603763171","43.672229053993505",./0.png
0.065429341236388,43.6785742275833,EPA,A lancer,"32",Aignan,Sol,2 bis,"10,00 ha",A,,Non,13000 m,,"DOMAINE DE PIERRYS, Patrick Boutes",05Â 62Â 09Â 37Â 28,,,"0.06542934123638759","43.67857422758334",./2.png
2.07445027546701,43.7194176384841,GBA,AbandonnÃ©,"81440",Brousse,Sol,,"3,5 ha",ZnC,,,,"Ancienne dÃ©charge d'OM, zone ZnC carte communale",PropriÃ©taire contactÃ© pas intÃ©ressÃ©,,,,"2.0744502754670058","43.71941763848406",./0.png
-0.206442321515404,43.7203570457938,EPA,A lancer,"32",Vergoignan,Sol,2 bis,"11,00 ha",A,,Non,5700m,,,,,,"-0.2064423215154037","43.720357045793804",./2.png
-0.206442321515404,43.7203570457938,EPA,A lancer,"32",SAINT-ORENS-POUY-PETIT (RouchÃ©),Sol,2 bis,"10.4",A,,Non,,,,,,,"-0.2064423215154037","43.720357045793804",./2.png
-0.206442321515404,43.7203570457938,EPA,A lancer,"32",SAINT-ORENS-POUY-PETIT (Les comps),Sol,2 bis,"10.4",A,,Non,,,,,,,"-0.2064423215154037","43.720357045793804",./2.png
0.267319788877455,43.7835013772414,EPA,AbandonnÃ©,"32",VIC-FEZENSAC (PÃ©deaubas),Sol,2 bis,"14,00 ha",,,Non,4700m,"Besoin en ombriÃ¨re trop insuffisant, contact intÃ©ressant car infos sur projets dans la commune, son fils possiblement intÃ©rressÃ©",,,,,"0.26731978887745506","43.78350137724141",./0.png
0.196606011252188,43.8016516997577,EPA,En cours,"32",Ramouzens,Sol,2 bis,"15,00 ha",A,,Oui,11000m,"FCS faite, orchidÃ©e typique zone humide prÃ©sente",GFA De Nabidaux (dirigeant Gabriel PIEROTTI),,,,"0.19660601125218774","43.801651699757656",./1.png
0.83283590006023,43.8017694525159,EPA,AbandonnÃ©,"32",Monfort,Sol,2 bis,"7,00 ha",,,Non,,,,,,,"0.8328359000602301","43.80176945251591",./0.png
